"SourceDeck","SlideNumber","SlideTitle","KeepMergeRewriteRetire","TopicArea","ModuleTarget","Notes"
"1) Service Excellence.pptx","1","Welcome to","Merge","Program Intro","Module 1 Welcome","Merge with Code of Conduct values opener into one cinematic launch slide."
"1) Service Excellence.pptx","2","Ground Rules","Rewrite","Learning Experience","Module 1 Welcome","Convert to interactive etiquette card and remove static classroom language."
"1) Service Excellence.pptx","3","Introductions","Retire","Facilitator Led","N/A","Not needed for self-paced annual module."
"1) Service Excellence.pptx","4","What is Service Excellence?","Keep","Service Excellence","Module 2 Service Mindset","Strong concept anchor, modernize visuals."
"1) Service Excellence.pptx","5","OUR MISSION","Merge","Mission and Values","Module 1 Welcome","Merge with values slides from code deck."
"1) Service Excellence.pptx","6","Our Vision","Merge","Mission and Values","Module 1 Welcome","Combine with mission and trust framing."
"1) Service Excellence.pptx","7","Provide Superior Quality Patient Care","Merge","Quality of Care","Module 2 Service Mindset","Merge with Code slide 17 for one quality section."
"1) Service Excellence.pptx","8","Value Each Member Of Our Team","Merge","Teamwork","Module 2 Service Mindset","Merge with Code slide 8 for one teamwork interaction."
"1) Service Excellence.pptx","9","We Are Committed To Being an","Merge","Ethics","Module 3 Conduct Compass","Merge with integrity and trust content."
"1) Service Excellence.pptx","10","Treat Everyone As A Guest","Keep","Service Behavior","Module 2 Service Mindset","Core behavior standard, adapt into scenario."
"1) Service Excellence.pptx","11","Treat Everyone As A Guest –","Keep","Service Recovery","Module 4 Scenario Arena","Use as game mechanic for recovery challenge."
"1) Service Excellence.pptx","12","Demonstrate Professionalism and Excellence","Merge","Professionalism","Module 2 Service Mindset","Merge duplicate professionalism slides into one concise behavior screen."
"1) Service Excellence.pptx","13","Demonstrate Professionalism and Excellence","Retire","Professionalism","N/A","Duplicate theme covered in adjacent slides."
"1) Service Excellence.pptx","14","Demonstrate Professionalism and Excellence","Keep","Ownership","Module 2 Service Mindset","Keep ownership language and pair with scenario choice outcomes."
"1) Service Excellence.pptx","15","Demonstrate Professionalism and Excellence –","Keep","Accountability","Module 2 Service Mindset","Good behavior expectation for score rubric."
"1) Service Excellence.pptx","16","Practice Teamwork","Merge","Teamwork","Module 2 Service Mindset","Merge with teamwork content into one standards card."
"1) Service Excellence.pptx","17","Practice Teamwork –","Rewrite","Process Improvement","Module 2 Service Mindset","Rewrite into practical daily actions and mini challenge."
"1) Service Excellence.pptx","18","Practice Teamwork –","Keep","Communication","Module 4 Scenario Arena","Use communication quote as scenario feedback cue."
"1) Service Excellence.pptx","19","Their Perception of Care","Keep","Patient Experience","Module 2 Service Mindset","Strong why-it-matters slide, shorten text."
"1) Service Excellence.pptx","20","How is it measured?","Rewrite","Quality Metrics","Module 2 Service Mindset","Replace old URL callout with current internal KPI dashboard references."
"1) Service Excellence.pptx","21","The Patient’s Perception","Merge","Patient Perception","Module 2 Service Mindset","Merge with slide 19 for one perception section."
"1) Service Excellence.pptx","22","Service Excellence Culture","Keep","Culture","Module 2 Service Mindset","Keep as transition into role-based content."
"1) Service Excellence.pptx","23","Service Excellence","Keep","Role-Based Application","Module 4 Scenario Arena","Use as role-track selector bridge."
"1) Service Excellence.pptx","24","Treat Everyone as a Guest","Keep","Behavior Standards","Module 2 Service Mindset","Convert bullets into selectable behavior cards."
"1) Service Excellence.pptx","25","Demonstrate Professionalism","Keep","Professional Standards","Module 2 Service Mindset","Useful checklist content for micro-quiz."
"1) Service Excellence.pptx","26","Practice Teamwork","Keep","Team Standards","Module 2 Service Mindset","Use in points bonus challenge."
"1) Service Excellence.pptx","27","Apply Service Excellence to Your Job","Keep","Action Planning","Module 5 Final Certification","Good reflection moment before certification."
"1) Service Excellence.pptx","28","Action Plan Standards","Merge","Action Planning","Module 5 Final Certification","Merge with slide 27 and 29 as one action-plan builder."
"1) Service Excellence.pptx","29","Please create your personal goals to add to sections 1., 2., 3.","Rewrite","Personal Goals","Module 5 Final Certification","Rewrite as in-app commitment prompt with saved response."
"1) Service Excellence.pptx","30","Next Steps!","Keep","Commitment","Module 5 Final Certification","Strong closing language for annual pledge."
"1) Service Excellence.pptx","31","Thank You!","Merge","Closing","Module 5 Final Certification","Merge into final completion screen."
"DSH Code_Conduct_.pptx","1","LIVING","Merge","Values","Module 1 Welcome","Use as premium animated values opener."
"DSH Code_Conduct_.pptx","2","Every","Merge","Values","Module 1 Welcome","Merge with day-to-day mission intro."
"DSH Code_Conduct_.pptx","3","EXCELLENCE","Keep","Trust and Excellence","Module 3 Conduct Compass","Good framing slide for code section."
"DSH Code_Conduct_.pptx","4","The","Keep","Code Foundations","Module 3 Conduct Compass","Keep as section opener with concise text."
"DSH Code_Conduct_.pptx","5","Ethical","Rewrite","Ethical Self Assessment","Module 3 Conduct Compass","Rewrite as interactive self-check game."
"DSH Code_Conduct_.pptx","6","E","Retire","Decorative","N/A","Letter art slide, low instructional value."
"DSH Code_Conduct_.pptx","7","Create","Keep","Inclusion and Safety","Module 3 Conduct Compass","Core policy behavior expectations."
"DSH Code_Conduct_.pptx","8","TE","Merge","Teamwork","Module 2 Service Mindset","Merge with service teamwork standards."
"DSH Code_Conduct_.pptx","9","Employee","Keep","Employee Responsibility","Module 3 Conduct Compass","Strong accountability content."
"DSH Code_Conduct_.pptx","10","Reporting","Keep","Reporting","Module 3 Conduct Compass","Critical annual requirement, keep prominent."
"DSH Code_Conduct_.pptx","11","Investigation","Keep","Investigation and Resolution","Module 3 Conduct Compass","Keep with non-retaliation emphasis."
"DSH Code_Conduct_.pptx","12","SERVICE","Merge","Service Standards","Module 2 Service Mindset","Merge with treat everyone as a guest standards."
"DSH Code_Conduct_.pptx","13","Safety,","Keep","Safety and Environment","Module 3 Conduct Compass","Keep and connect to scenario risks."
"DSH Code_Conduct_.pptx","14","COM","Retire","Decorative","N/A","Letter art slide, low learning value."
"DSH Code_Conduct_.pptx","15","Patient","Keep","Patient Rights","Module 3 Conduct Compass","Must retain as required policy topic."
"DSH Code_Conduct_.pptx","16","T","Merge","Trust","Module 3 Conduct Compass","Merge with trust framing and promises content."
"DSH Code_Conduct_.pptx","17","Quality","Merge","Quality of Care","Module 2 Service Mindset","Merge with service deck quality slide."
"DSH Code_Conduct_.pptx","18","Confidentiality","Keep","Confidentiality and Privacy","Module 3 Conduct Compass","High-priority annual compliance topic."
"DSH Code_Conduct_.pptx","19","I","Merge","Integrity","Module 3 Conduct Compass","Merge with ethics/accountability section."
"DSH Code_Conduct_.pptx","20","Conflicts","Keep","Conflicts of Interest","Module 3 Conduct Compass","Use as decision-game content."
"DSH Code_Conduct_.pptx","21","Gifts","Keep","Gifts and Entertainment","Module 3 Conduct Compass","Retain with practical examples and thresholds."
"DSH Code_Conduct_.pptx","22","Documentation,","Keep","Documentation and Billing","Module 3 Conduct Compass","Critical coding and billing integrity topic."
"DSH Code_Conduct_.pptx","23","Physician","Rewrite","External Communications","Module 3 Conduct Compass","Rewrite into concise do and do-not cards."
"DSH Code_Conduct_.pptx","24","Have","Keep","Speak Up","Module 5 Final Certification","Keep as final action and reporting reminder."
