"SourceDeck","SlideNumber","SlideTitle","TextPreview","KeepMergeRewriteRetire","TopicArea","ModuleTarget","Notes"
"1) Service Excellence.pptx","1","Welcome to","Welcome to | Destiny Springs | SERVICE Excellence | Connie Cooper – Director of Risk Management | 1","","","",""
"1) Service Excellence.pptx","2","Ground Rules","Ground Rules | Be a respectful | Listen | Ask questions | Minimize distractions – | NO PHONES","","","",""
"1) Service Excellence.pptx","3","Introductions","Introductions | Name | Department | Work Background | What’s your role? | What talents do you bring to that role?","","","",""
"1) Service Excellence.pptx","4","What is Service Excellence?","What is Service Excellence? | CUSTOMER | SERVICE | SERVICE EXCELLENCE | ≠","","","",""
"1) Service Excellence.pptx","5","OUR MISSION","OUR MISSION | To deliver outstanding patient care, driven by a passionate commitment to both clinical and service excellence.","","","",""
"1) Service Excellence.pptx","6","Our Vision","Our Vision | Honest and Respectful Communication. | Compassion for our patients, families, and each other. | Accountability to each other and the work that we do. | Teamwork. | 6","","","",""
"1) Service Excellence.pptx","7","Provide Superior Quality Patient Care","Provide Superior Quality Patient Care","","","",""
"1) Service Excellence.pptx","8","Value Each Member Of Our Team","Value Each Member Of Our Team","","","",""
"1) Service Excellence.pptx","9","We Are Committed To Being an","We Are Committed To Being an | Ethical Healthcare | Provider | We set | high ethical standards | for ourselves | We are committed to fostering a culture of | accountability at all levels","","","",""
"1) Service Excellence.pptx","10","Treat Everyone As A Guest","Treat Everyone As A Guest | Exceed the needs and expectations | of all customers | Continually create | positive first impressions | Keep promises | to earn trust | Display","","","",""
"1) Service Excellence.pptx","11","Treat Everyone As A Guest –","Treat Everyone As A Guest – | Service Recovery Behaviors","","","",""
"1) Service Excellence.pptx","12","Demonstrate Professionalism and Excellence","Demonstrate Professionalism and Excellence | 12","","","",""
"1) Service Excellence.pptx","13","Demonstrate Professionalism and Excellence","Demonstrate Professionalism and Excellence","","","",""
"1) Service Excellence.pptx","14","Demonstrate Professionalism and Excellence","Demonstrate Professionalism and Excellence | – | Take Ownership","","","",""
"1) Service Excellence.pptx","15","Demonstrate Professionalism and Excellence –","Demonstrate Professionalism and Excellence – | Demonstrate Accountability","","","",""
"1) Service Excellence.pptx","16","Practice Teamwork","Practice Teamwork","","","",""
"1) Service Excellence.pptx","17","Practice Teamwork –","Practice Teamwork – | Participate in Process Improvement","","","",""
"1) Service Excellence.pptx","18","Practice Teamwork –","Practice Teamwork – | Communicate Effectively | The biggest challenge facing relationships and organizations is | communication | . | 18","","","",""
"1) Service Excellence.pptx","19","Their Perception of Care","Their Perception of Care | Impacts the reputation of the hospital with: | Providers | Professional referral sources | Community at large | Impacts the hospital team by: | Decreasing patient and family anxiety | Reducing complaints and grievances","","","",""
"1) Service Excellence.pptx","20","How is it measured?","How is it measured? | www.HospitalCompare.HHS.gov","","","",""
"1) Service Excellence.pptx","21","The Patient’s Perception","The Patient’s Perception","","","",""
"1) Service Excellence.pptx","22","Service Excellence Culture","Service Excellence Culture","","","",""
"1) Service Excellence.pptx","23","Service Excellence","Service Excellence | in Your Role","","","",""
"1) Service Excellence.pptx","24","Treat Everyone as a Guest","Treat Everyone as a Guest | Behaviors | I will always say | “Please” and “Thank You | ” | I will greet EVERYONE with | eye contact and a smile","","","",""
"1) Service Excellence.pptx","25","Demonstrate Professionalism","Demonstrate Professionalism | and Excellence | Behaviors | I will always wear my name badge for identification and courtesy. | I will use language that is appropriate to the situation and the guest in each interaction.","","","",""
"1) Service Excellence.pptx","26","Practice Teamwork","Practice Teamwork | Behaviors | Be helpful | when able | I will | hold myself accountable | each day for getting the | information I need to do my job","","","",""
"1) Service Excellence.pptx","27","Apply Service Excellence to Your Job","Apply Service Excellence to Your Job | Develop your | Service Excellence | Action Plan | for each standard. | Set | one personal goal for each | Service Excellence Standard.","","","",""
"1) Service Excellence.pptx","28","Action Plan Standards","Action Plan Standards","","","",""
"1) Service Excellence.pptx","29","Please create your personal goals to add to sections 1., 2., 3.","Please create your personal goals to add to sections 1., 2., 3.","","","",""
"1) Service Excellence.pptx","30","Next Steps!","Next Steps! | Provide Superior Quality Healthcare Services in everything you do | Remember: Service Excellence will be part of your assessment on your Performance Evaluation | Demonstrate Service Excellence | in every interaction until it becomes a habit","","","",""
"1) Service Excellence.pptx","31","Thank You!","Thank You!","","","",""
"DSH Code_Conduct_.pptx","1","LIVING","LIVING | OUR | V | A | L | U | E | S","","","",""
"DSH Code_Conduct_.pptx","2","Every","Every | day | at | Destiny Springs | , | we | ask | our","","","",""
"DSH Code_Conduct_.pptx","3","EXCELLENCE","EXCELLENCE | 6 | TRUST | 16 | What | You | Need | to","","","",""
"DSH Code_Conduct_.pptx","4","The","The | Code | of | Conduct | highlights | the | connection | between","","","",""
"DSH Code_Conduct_.pptx","5","Ethical","Ethical | Self- | Assessment | Since | the | Code | of | Conduct cannot","","","",""
"DSH Code_Conduct_.pptx","6","E","E | X | C | E | LL | E | N | C","","","",""
"DSH Code_Conduct_.pptx","7","Create","Create | an | inclusive, | safe | environment | for | patients, | visitors,","","","",""
"DSH Code_Conduct_.pptx","8","TE","TE | A | M | W | O | R | K | Working","","","",""
"DSH Code_Conduct_.pptx","9","Employee","Employee | Responsibility | At | Destiny Springs | , | we | maintain | the","","","",""
"DSH Code_Conduct_.pptx","10","Reporting","Reporting | Compliance | Issues | Reporting | At | Destiny Springs | , | we","","","",""
"DSH Code_Conduct_.pptx","11","Investigation","Investigation | and | Resolution | Q: | A: | Non- | Retaliation | Disciplinary","","","",""
"DSH Code_Conduct_.pptx","12","SERVICE","SERVICE | BEHAVIOR | STANDARDS | I | treat | everyone | as | the","","","",""
"DSH Code_Conduct_.pptx","13","Safety,","Safety, | Health | and | the | Environment | At | Destiny Springs | ,","","","",""
"DSH Code_Conduct_.pptx","14","COM","COM | P | A | S | S | I | O | N","","","",""
"DSH Code_Conduct_.pptx","15","Patient","Patient | Rights | Admissions, | Transfers | and | Continuity | of | Care","","","",""
"DSH Code_Conduct_.pptx","16","T","T | R | U | S | T | Delivering | on | promises","","","",""
"DSH Code_Conduct_.pptx","17","Quality","Quality | of | Care | At | Destiny Springs | , | we | strive","","","",""
"DSH Code_Conduct_.pptx","18","Confidentiality","Confidentiality | and | Privacy | Q: | A: | At | Destiny Springs | ,","","","",""
"DSH Code_Conduct_.pptx","19","I","I | N | T | E | G | RI | T | Y","","","",""
"DSH Code_Conduct_.pptx","20","Conflicts","Conflicts | of | Interest | At | Destiny Springs | , | we | disclose","","","",""
"DSH Code_Conduct_.pptx","21","Gifts","Gifts | and | Entertainment | At | Destiny Springs | , | we | do","","","",""
"DSH Code_Conduct_.pptx","22","Documentation,","Documentation, | Retention | and | Disposal | Coding | and | Billing | At","","","",""
"DSH Code_Conduct_.pptx","23","Physician","Physician | Relations | Media | Communications | Customer | and | Business | Associate","","","",""
"DSH Code_Conduct_.pptx","24","Have","Have | Questions? | Speak | Up! | Scan | to | report | concerns","","","",""
